MAG,NCBI Accession,,GTDB-Tk Taxonomy (Classify_wf),,,,,,Genome Assembly Statistics (CheckM),,,,,,,,,Assembly,
Bin_ID,BioProject,MAG SRA,Phylum,Class ,Order,Family,Genus,Species,GC ,Genome Size,Contigs,Longest contig,N50 (contigs),Coding density,Predicted genes,Completion,Contamination,Method,Version
113_16,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Dokdonia,NA,0.339392656,5323477,31,830201,376952,0.899125139,4632,99.62,1.55,CONCOCT,1.0.0
115_25,,,Bacteroidota,Rhodothermia,Rhodothermales,NA,NA,NA,0.687675159,4599743,41,633107,224350,0.900101158,3910,97.54,3.48,CONCOCT,1.0.0
115_42,,,Pseudomonadota,Alphaproteobacteria,Thalassobaculales,Thalassobaculaceae,Nisaea,NA,0.585386615,4853003,36,1751642,718601,0.900205914,4563,99.78,0,CONCOCT,1.0.0
116_15,,,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,NA,0.406452347,6225549,22,1231832,672762,0.917869412,5170,98.29,2.08,CONCOCT,1.0.0
116_18_sub,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Roseobacter,NA,0.522579141,4880013,59,579173,190418,0.886462393,4764,99.57,1.12,CONCOCT,1.0.0
116_20,,,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,JAMZMI01,NA,0.427365828,5065288,25,869657,482465,0.92696822,4174,98.29,2.14,CONCOCT,1.0.0
119_33,,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parasphingorhabdus,NA,0.541920637,3573741,7,1249498,901942,0.922917469,3452,99.54,8.36,CONCOCT,1.0.0
119_87,,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Oleiphilaceae,Marinobacter,Marinobacter sp913057975,0.56962214,4455508,61,311267,159234,0.912366222,4152,100,0.16,CONCOCT,1.0.0
119_89,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Paraglaciecola,NA,0.391377712,4186986,27,437109,300414,0.884455788,3714,98.71,0.88,CONCOCT,1.0.0
12_70,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Cellulophaga,Cellulophaga sp002813425,0.318739815,3769162,231,133830,40236,0.917709029,3457,98.33,0.44,CONCOCT,1.0.0
120_31,,,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,Balneola sp001650905,0.381519601,3577347,22,845374,283115,0.917336786,3168,99.72,0.56,CONCOCT,1.0.0
124_1,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Eudoraea,NA,0.372985043,3926573,17,733209,678767,0.903726226,3489,99.34,0.9,CONCOCT,1.0.0
127_50,,,Pseudomonadota,Alphaproteobacteria,Parvibaculales,CGMCC-115125,Pyruvatibacter,NA,0.583346683,3558258,6,1414640,1190321,0.910708274,3407,99.78,0.43,CONCOCT,1.0.0
130_20,,,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Lentilitoribacter,NA,0.44291599,3705994,9,1312542,654539,0.907084847,3556,100,0,CONCOCT,1.0.0
134_58,,,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,NA,NA,0.545819766,4024464,150,144615,47351,0.897758807,3998,99.03,9.51,CONCOCT,1.0.0
137_49,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Alteromonadaceae,Paraglaciecola,NA,0.395229685,4556596,35,513323,244417,0.889818189,4050,98.71,1.5,CONCOCT,1.0.0
137_65,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Nonlabens,NA,0.346553852,3166013,24,598594,218433,0.906073033,2888,98.53,0.25,CONCOCT,1.0.0
137_maxbin.011,,,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,NA,0.410350415,4864172,84,725915,349685,0.911441248,4215,98.29,1.19,MaxBin2,2.2.7
139_49,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Muricauda,NA,0.379938849,4182073,42,679872,235486,0.915196363,3686,99.34,1.82,CONCOCT,1.0.0
139_83_sub,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,NA,0.571582017,4564673,63,449064,171476,0.896303415,4631,99.68,0.91,CONCOCT,1.0.0
140_35,,,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aurantibacter_A,NA,0.34000932,4510944,107,214795,82341,0.91477438,3883,98.51,0.78,CONCOCT,1.0.0
140_8,,,Pseudomonadota,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Aurantimonas,Aurantimonas coralicida,0.66704516,4203507,660,35130,8740,0.876894222,4550,89.29,0.81,CONCOCT,1.0.0
144_2,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sedimentitalea,NA,0.582040383,5647225,106,443434,149882,0.900675996,5489,98.78,1.09,CONCOCT,1.0.0
145_38,,,Pseudomonadota,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Tateyamaria,NA,0.555735133,3914120,18,628984,418618,0.905872584,3871,99.57,0,CONCOCT,1.0.0
146_5,,,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Maricaulaceae,Litorimonas,NA,0.462318831,2715972,336,62027,11901,0.906701174,2785,96.53,2.22,CONCOCT,1.0.0
157_1,,,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Marinomonadaceae,Marinomonas,NA,0.443640302,3386214,17,992350,485880,0.90372345,3101,99.57,0.86,CONCOCT,1.0.0
159_43,,,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Parasphingorhabdus,NA,0.539634471,2924689,6,1229261,621654,0.923963197,2811,99.2,0.45,CONCOCT,1.0.0
159_maxbin.009,,,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,Balneola,NA,0.371425466,3091137,50,859912,812775,0.922434366,2774,99.72,3.11,MaxBin2,2.2.7
159_maxbin.012_sub,,,Pseudomonadota,Gammaproteobacteria,Enterobacterales_A,Vibrionaceae,Vibrio,Vibrio splendidus,0.440675471,5564292,86,785235,401929,0.858554152,4924,99.87,2.59,MaxBin2,2.2.7
